Start Date,End Date,ATL,BKN,BOS,CHA,CHI,CLE,CNS,DAL,DEN,DET,EST,FLA,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,MRA,NOP,NYK,NZB,OKC,ORL,PHI,PHX,POR,RMD,SAC,SAS,TOR,UTA,WAS,WST
2024-01-01,2024-01-03,1,2,1,2,2,2,0,2,1,2,0,0,1,2,2,2,1,2,2,2,2,0,2,2,0,2,2,1,2,2,0,2,1,2,2,1,0,
2024-01-04,2024-01-07,2,2,2,1,1,2,0,2,3,2,0,0,3,2,2,2,2,2,1,2,2,0,2,2,0,1,2,2,2,2,0,2,2,2,2,2,0,
2024-01-08,2024-01-10,1,0,2,2,2,0,0,1,1,2,0,0,1,2,2,2,1,1,2,1,2,0,1,1,0,2,1,1,1,1,0,2,1,2,2,2,0,
2024-01-11,2024-01-14,2,1,2,2,2,1,0,2,2,1,0,0,2,2,2,2,2,2,2,3,2,0,2,2,0,2,2,1,2,3,0,2,2,1,2,1,0,
2024-01-15,2024-01-17,2,2,2,1,1,2,0,2,1,2,0,0,1,2,1,1,2,1,2,1,1,0,2,2,0,2,2,2,1,1,0,1,2,2,1,1,0,
2024-01-18,2024-01-21,2,2,2,2,2,1,0,0,2,1,0,0,0,2,3,1,2,2,2,1,2,0,1,2,0,2,2,2,2,2,0,1,2,2,2,3,0,
2024-01-22,2024-01-24,2,1,1,2,1,2,0,2,1,2,0,0,1,1,1,1,1,2,1,2,2,0,1,1,0,2,1,1,2,2,0,1,2,1,1,1,0,
2024-01-25,2024-01-28,2,2,2,2,2,1,0,2,2,2,0,0,2,2,3,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,0,
2024-01-29,2024-01-31,1,2,2,2,2,2,0,2,2,1,0,0,1,2,1,2,2,1,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,1,2,2,0,
2024-02-01,2024-02-04,2,1,2,2,1,2,0,1,2,2,0,0,2,2,3,2,2,3,2,2,2,0,1,2,0,2,2,2,2,2,0,2,2,2,2,2,0,
2024-02-05,2024-02-07,2,2,1,2,1,2,0,2,0,1,0,0,2,1,1,2,1,1,2,1,1,0,2,1,0,1,1,2,1,0,0,2,1,2,1,1,0,
2024-02-08,2024-02-11,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,1,2,2,1,2,1,0,2,2,0,2,2,2,2,2,0,2,2,2,1,2,0,
2024-02-12,2024-02-14,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2,2,2,1,0,2,2,2,2,2,0,
2024-02-15,2024-02-18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,
2024-02-19,2024-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-02-22,2024-02-25,2,2,2,3,2,3,0,2,3,2,0,0,3,3,2,3,3,1,1,2,2,0,3,2,0,3,3,3,3,2,0,2,3,2,2,3,0,
2024-02-26,2024-02-28,1,2,1,1,2,2,0,2,1,2,0,0,1,1,2,1,1,2,2,1,2,0,2,2,0,1,1,1,0,1,0,2,1,2,1,1,0,
